centre,param,points,x1,x2,x3,external model
0,x1,0,0.2571726207721703,1.2518858982625605,1.9042667009605734,6.900685717904245
0,x1,1,2.3701880714609147,1.2518858982625605,1.9042667009605734,7.925738198749008
0,x1,2,1.5566465854864497,1.2518858982625605,1.9042667009605734,8.626607163763738
0,x1,3,2.0913888950423183,1.2518858982625605,1.9042667009605734,8.320164215279577
0,x1,4,-0.024095083698404185,1.2518858982625605,1.9042667009605734,6.2561096411754935
0,x1,5,2.461030842229896,1.2518858982625605,1.9042667009605734,7.768522289229172
0,x1,6,1.135939980901973,1.2518858982625605,1.9042667009605734,8.411387305946718
0,x1,7,2.758214421229248,1.2518858982625605,1.9042667009605734,7.177805384446028
0,x1,8,0.8220765204977871,1.2518858982625605,1.9042667009605734,8.007729256299381
0,x1,9,2.525369742672511,1.2518858982625605,1.9042667009605734,7.6498279355397125
0,x2,0,2.9995047942827138,-0.350113268262386,1.9042667009605734,1.151384620394131
0,x2,1,2.9995047942827138,-2.8079270659947495,1.9042667009605734,1.0786548077652023
0,x2,2,2.9995047942827138,2.118685240463732,1.9042667009605734,5.428563566145885
0,x2,3,2.9995047942827138,-1.9727996043773275,1.9042667009605734,6.2562159155262655
0,x2,4,2.9995047942827138,1.1804649386788477,1.9042667009605734,6.31438684885092
0,x2,5,2.9995047942827138,-1.9699131178979277,1.9042667009605734,6.270726124359966
0,x2,6,2.9995047942827138,1.0237601448407259,1.9042667009605734,5.4338694818581725
0,x2,7,2.9995047942827138,-2.462246227163565,1.9042667009605734,3.0910129723393145
0,x2,8,2.9995047942827138,2.5127636663216175,1.9042667009605734,2.749660815210036
0,x2,9,2.9995047942827138,-0.9519433782790143,1.9042667009605734,4.97219945933366
0,x3,0,2.9995047942827138,1.2518858982625605,2.651239307791452,7.153158907376897
0,x3,1,2.9995047942827138,1.2518858982625605,2.683655266684861,7.1880100560552656
0,x3,2,2.9995047942827138,1.2518858982625605,2.5825472737616413,7.0834169913909415
0,x3,3,2.9995047942827138,1.2518858982625605,3.083157155457314,7.73310260450236
0,x3,4,2.9995047942827138,1.2518858982625605,2.6203173571081906,7.1210841685448765
0,x3,5,2.9995047942827138,1.2518858982625605,3.1348898333055835,7.821171324378306
0,x3,6,2.9995047942827138,1.2518858982625605,2.6423755263515836,7.143849073369567
0,x3,7,2.9995047942827138,1.2518858982625605,3.0880424427819926,7.741232104376656
0,x3,8,2.9995047942827138,1.2518858982625605,2.850646584618272,7.388615315256408
0,x3,9,2.9995047942827138,1.2518858982625605,2.5735783484097507,7.074711829379124
