centre,param,points,x1,x2,x3
0,x1,0,-2.5426157492040002,-2.1017199561756996,-1.818363954269625
0,x1,1,-1.9146157492040001,-2.1017199561756996,-1.818363954269625
0,x1,2,-1.2866157492040002,-2.1017199561756996,-1.818363954269625
0,x1,3,-0.6586157492039999,-2.1017199561756996,-1.818363954269625
0,x1,4,-0.030615749178128038,-2.1017199561756996,-1.818363954269625
0,x1,5,0.5973842507960003,-2.1017199561756996,-1.818363954269625
0,x1,6,1.2253842507960004,-2.1017199561756996,-1.818363954269625
0,x1,7,1.8533842507959997,-2.1017199561756996,-1.818363954269625
0,x1,8,2.481384250796,-2.1017199561756996,-1.818363954269625
0,x1,9,3.109384250796001,-2.1017199561756996,-1.818363954269625
0,x2,0,-0.030615749178128038,-2.729719955984,-1.818363954269625
0,x2,1,-0.030615749178128038,-2.1017199561756996,-1.818363954269625
0,x2,2,-0.030615749178128038,-1.473719955984,-1.818363954269625
0,x2,3,-0.030615749178128038,-0.8457199559839998,-1.818363954269625
0,x2,4,-0.030615749178128038,-0.21771995598400018,-1.818363954269625
0,x2,5,-0.030615749178128038,0.41028004401599993,-1.818363954269625
0,x2,6,-0.030615749178128038,1.0382800440159996,-1.818363954269625
0,x2,7,-0.030615749178128038,1.6662800440159997,-1.818363954269625
0,x2,8,-0.030615749178128038,2.294280044016,-1.818363954269625
0,x2,9,-0.030615749178128038,2.922280044016,-1.818363954269625
0,x3,0,-0.030615749178128038,-2.1017199561756996,-3.074363954512
0,x3,1,-0.030615749178128038,-2.1017199561756996,-2.446363954512
0,x3,2,-0.030615749178128038,-2.1017199561756996,-1.818363954269625
0,x3,3,-0.030615749178128038,-2.1017199561756996,-1.190363954512
0,x3,4,-0.030615749178128038,-2.1017199561756996,-0.562363954512
0,x3,5,-0.030615749178128038,-2.1017199561756996,0.06563604548799962
0,x3,6,-0.030615749178128038,-2.1017199561756996,0.6936360454879997
0,x3,7,-0.030615749178128038,-2.1017199561756996,1.3216360454880003
0,x3,8,-0.030615749178128038,-2.1017199561756996,1.9496360454880004
0,x3,9,-0.030615749178128038,-2.1017199561756996,2.5776360454879996
1,x1,0,-2.938804944624,0.0895233682861023,-2.9722896836716877
1,x1,1,-2.310804944624,0.0895233682861023,-2.9722896836716877
1,x1,2,-1.682804944464014,0.0895233682861023,-2.9722896836716877
1,x1,3,-1.0548049446239998,0.0895233682861023,-2.9722896836716877
1,x1,4,-0.4268049446240001,0.0895233682861023,-2.9722896836716877
1,x1,5,0.20119505537600002,0.0895233682861023,-2.9722896836716877
1,x1,6,0.8291950553759997,0.0895233682861023,-2.9722896836716877
1,x1,7,1.4571950553760007,0.0895233682861023,-2.9722896836716877
1,x1,8,2.085195055376,0.0895233682861023,-2.9722896836716877
1,x1,9,2.713195055376,0.0895233682861023,-2.9722896836716877
1,x2,0,-1.682804944464014,-3.0504766318480003,-2.9722896836716877
1,x2,1,-1.682804944464014,-2.422476631848,-2.9722896836716877
1,x2,2,-1.682804944464014,-1.794476631848,-2.9722896836716877
1,x2,3,-1.682804944464014,-1.166476631848,-2.9722896836716877
1,x2,4,-1.682804944464014,-0.5384766318479999,-2.9722896836716877
1,x2,5,-1.682804944464014,0.0895233682861023,-2.9722896836716877
1,x2,6,-1.682804944464014,0.7175233681519999,-2.9722896836716877
1,x2,7,-1.682804944464014,1.345523368152,-2.9722896836716877
1,x2,8,-1.682804944464014,1.9735233681520001,-2.9722896836716877
1,x2,9,-1.682804944464014,2.6015233681520002,-2.9722896836716877
1,x3,0,-1.682804944464014,0.0895233682861023,-2.9722896836716877
1,x3,1,-1.682804944464014,0.0895233682861023,-2.3442896835680003
